# This file provides information to map coordinates from the BDGP release 5
# to release 6 assemblies.  The mapping is based on reciprocal best hit
# alignments.  Because of this some regions of release 5 that due to assembly
# artifacts are present in duplicate in other regions are absent from the
# mapping if the other region is contained in a better alignment.
#
# Coordinates in this file are represented as interbase for both releases.
# If you want on base (1-based) coordinates add 1 to each _start column.
#
# If the R6 strand is '-' it means that the R5 sequence needs to be reverse
# complemented to correspond to the R6 sequence and the start end coordinates
# for oriented features must also be reversed  eg. a gene that started at
# interbase coordinate 236880 of 2LHet in release 5 would start on the opposite
# strand at coordinate 1865892 of Y in release 6.
#
# r5_scaffold	r5_start	r5_end	r6_scaffold	r6_start	r6_end	r6_strand
U	9309529	9310130	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	15925	16526	+
U	9310130	9310138	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	16529	16537	+
U	9350522	9350668	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	40394	40540	-
U	9350513	9350515	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	40540	40542	-
U	9350377	9350503	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	40542	40668	-
U	9350191	9350377	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	40688	40874	-
U	9359486	9360056	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	74373	74943	+
U	9360056	9360630	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	74992	75566	+
U	9633062	9634061	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	80392	81391	+
U	9634062	9634138	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	81391	81467	+
U	9634139	9634148	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	81467	81476	+
U	9849311	9849332	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	68918	68939	-
U	9849209	9849310	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	68939	69040	-
U	9849191	9849208	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	69040	69057	-
U	9848289	9849190	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	69057	69958	-
U	9864748	9864961	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	78448	78661	-
U	9864733	9864735	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	78661	78663	-
U	9864275	9864730	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	78663	79118	-
U	9959184	9959196	3Cen_mapped_Scaffold_31_D1643_D1653_D1791	77666	77678	-
U	2254057	2254078	3Cen_mapped_Scaffold_50_D1686	21921	21942	+
U	2254079	2254113	3Cen_mapped_Scaffold_50_D1686	21942	21976	+
U	2254113	2254136	3Cen_mapped_Scaffold_50_D1686	21977	22000	+
U	2254137	2254148	3Cen_mapped_Scaffold_50_D1686	22000	22011	+
U	2254149	2254160	3Cen_mapped_Scaffold_50_D1686	22011	22022	+
U	2254161	2254183	3Cen_mapped_Scaffold_50_D1686	22022	22044	+
U	2254184	2254195	3Cen_mapped_Scaffold_50_D1686	22044	22055	+
U	2254196	2254207	3Cen_mapped_Scaffold_50_D1686	22055	22066	+
U	2254208	2254219	3Cen_mapped_Scaffold_50_D1686	22066	22077	+
U	2254220	2254231	3Cen_mapped_Scaffold_50_D1686	22077	22088	+
U	2254232	2254265	3Cen_mapped_Scaffold_50_D1686	22088	22121	+
U	2254266	2254275	3Cen_mapped_Scaffold_50_D1686	22121	22130	+
U	2254276	2254322	3Cen_mapped_Scaffold_50_D1686	22130	22176	+
U	2254322	2254343	3Cen_mapped_Scaffold_50_D1686	22188	22209	+
U	2254344	2254433	3Cen_mapped_Scaffold_50_D1686	22209	22298	+
U	2254433	2254500	3Cen_mapped_Scaffold_50_D1686	22310	22377	+
U	2254500	2254513	3Cen_mapped_Scaffold_50_D1686	22389	22402	+
U	2254513	2254526	3Cen_mapped_Scaffold_50_D1686	22413	22426	+
U	2254526	2254591	3Cen_mapped_Scaffold_50_D1686	22427	22492	+
U	2254591	2254616	3Cen_mapped_Scaffold_50_D1686	22493	22518	+
U	2254616	2254691	3Cen_mapped_Scaffold_50_D1686	22529	22604	+
U	2254692	2254714	3Cen_mapped_Scaffold_50_D1686	22604	22626	+
U	2254715	2254738	3Cen_mapped_Scaffold_50_D1686	22626	22649	+
U	2254739	2254750	3Cen_mapped_Scaffold_50_D1686	22649	22660	+
U	2254751	2254764	3Cen_mapped_Scaffold_50_D1686	22660	22673	+
U	2254764	2254773	3Cen_mapped_Scaffold_50_D1686	22684	22693	+
U	2254773	2254808	3Cen_mapped_Scaffold_50_D1686	22704	22739	+
U	2254808	2254819	3Cen_mapped_Scaffold_50_D1686	22751	22762	+
U	2254820	2254831	3Cen_mapped_Scaffold_50_D1686	22762	22773	+
U	2254832	2254879	3Cen_mapped_Scaffold_50_D1686	22773	22820	+
U	2254879	2254890	3Cen_mapped_Scaffold_50_D1686	22821	22832	+
U	2254890	2254912	3Cen_mapped_Scaffold_50_D1686	22833	22855	+
U	2254912	2254914	3Cen_mapped_Scaffold_50_D1686	22856	22858	+
U	2254914	2254969	3Cen_mapped_Scaffold_50_D1686	22867	22922	+
U	2254970	2254981	3Cen_mapped_Scaffold_50_D1686	22922	22933	+
U	2254982	2254993	3Cen_mapped_Scaffold_50_D1686	22933	22944	+
U	2254994	2255005	3Cen_mapped_Scaffold_50_D1686	22944	22955	+
U	2255006	2255019	3Cen_mapped_Scaffold_50_D1686	22955	22968	+
U	2255020	2255051	3Cen_mapped_Scaffold_50_D1686	22968	22999	+
U	2255052	2255063	3Cen_mapped_Scaffold_50_D1686	22999	23010	+
U	2255064	2255075	3Cen_mapped_Scaffold_50_D1686	23010	23021	+
U	2255076	2255087	3Cen_mapped_Scaffold_50_D1686	23021	23032	+
U	2255088	2255092	3Cen_mapped_Scaffold_50_D1686	23032	23036	+
U	2738351	2738355	3Cen_mapped_Scaffold_36_D1605	12849	12853	+
U	2738355	2738366	3Cen_mapped_Scaffold_36_D1605	12854	12865	+
U	2738366	2738377	3Cen_mapped_Scaffold_36_D1605	12866	12877	+
U	2738377	2738443	3Cen_mapped_Scaffold_36_D1605	12878	12944	+
U	2738450	2738461	3Cen_mapped_Scaffold_36_D1605	12944	12955	+
U	2738462	2738464	3Cen_mapped_Scaffold_36_D1605	12955	12957	+
U	2738465	2738474	3Cen_mapped_Scaffold_36_D1605	12957	12966	+
U	2738475	2738486	3Cen_mapped_Scaffold_36_D1605	12966	12977	+
U	2738487	2738562	3Cen_mapped_Scaffold_36_D1605	12977	13052	+
U	2738563	2738574	3Cen_mapped_Scaffold_36_D1605	13052	13063	+
U	2738575	2738622	3Cen_mapped_Scaffold_36_D1605	13063	13110	+
U	2738622	2738663	3Cen_mapped_Scaffold_36_D1605	13111	13152	+
U	2738663	2738707	3Cen_mapped_Scaffold_36_D1605	13153	13197	+
U	2738708	2738719	3Cen_mapped_Scaffold_36_D1605	13197	13208	+
U	2738720	2738797	3Cen_mapped_Scaffold_36_D1605	13208	13285	+
U	2738798	2738875	3Cen_mapped_Scaffold_36_D1605	13285	13362	+
U	2738875	2738886	3Cen_mapped_Scaffold_36_D1605	13369	13380	+
U	2738886	2738897	3Cen_mapped_Scaffold_36_D1605	13393	13404	+
U	2738897	2739008	3Cen_mapped_Scaffold_36_D1605	13405	13516	+
U	2739009	2739141	3Cen_mapped_Scaffold_36_D1605	13516	13648	+
U	2739141	2739284	3Cen_mapped_Scaffold_36_D1605	13655	13798	+
U	2739284	2739290	3Cen_mapped_Scaffold_36_D1605	13803	13809	+
U	2739291	2739302	3Cen_mapped_Scaffold_36_D1605	13809	13820	+
U	2739303	2739313	3Cen_mapped_Scaffold_36_D1605	13820	13830	+
U	2739314	2739326	3Cen_mapped_Scaffold_36_D1605	13830	13842	+
U	2739327	2739338	3Cen_mapped_Scaffold_36_D1605	13842	13853	+
U	2739339	2739372	3Cen_mapped_Scaffold_36_D1605	13853	13886	+
U	2739373	2739384	3Cen_mapped_Scaffold_36_D1605	13886	13897	+
U	2739385	2739506	3Cen_mapped_Scaffold_36_D1605	13897	14018	+
U	2739507	2739518	3Cen_mapped_Scaffold_36_D1605	14018	14029	+
U	2739519	2739530	3Cen_mapped_Scaffold_36_D1605	14029	14040	+
U	2739530	2739541	3Cen_mapped_Scaffold_36_D1605	14041	14052	+
U	2739541	2739563	3Cen_mapped_Scaffold_36_D1605	14053	14075	+
U	2739568	2739574	3Cen_mapped_Scaffold_36_D1605	14075	14081	+
U	2739574	2739585	3Cen_mapped_Scaffold_36_D1605	14082	14093	+
U	2739585	2739674	3Cen_mapped_Scaffold_36_D1605	14094	14183	+
U	2739674	2739828	3Cen_mapped_Scaffold_36_D1605	14190	14344	+
U	2739828	2739851	3Cen_mapped_Scaffold_36_D1605	14345	14368	+
U	2739851	2739857	3Cen_mapped_Scaffold_36_D1605	14373	14379	+
U	2739858	2739869	3Cen_mapped_Scaffold_36_D1605	14379	14390	+
U	2739870	2739881	3Cen_mapped_Scaffold_36_D1605	14390	14401	+
U	2739882	2739892	3Cen_mapped_Scaffold_36_D1605	14401	14411	+
U	2739893	2739917	3Cen_mapped_Scaffold_36_D1605	14411	14435	+
U	2739918	2739951	3Cen_mapped_Scaffold_36_D1605	14435	14468	+
U	2739952	2739963	3Cen_mapped_Scaffold_36_D1605	14468	14479	+
U	2739964	2740085	3Cen_mapped_Scaffold_36_D1605	14479	14600	+
U	2740086	2740097	3Cen_mapped_Scaffold_36_D1605	14600	14611	+
U	2740098	2740175	3Cen_mapped_Scaffold_36_D1605	14611	14688	+
U	2740176	2740198	3Cen_mapped_Scaffold_36_D1605	14688	14710	+
U	2740198	2740209	3Cen_mapped_Scaffold_36_D1605	14711	14722	+
U	2740209	2740297	3Cen_mapped_Scaffold_36_D1605	14723	14811	+
U	2740297	2740303	3Cen_mapped_Scaffold_36_D1605	14816	14822	+
U	2740304	2740315	3Cen_mapped_Scaffold_36_D1605	14822	14833	+
U	2740316	2740329	3Cen_mapped_Scaffold_36_D1605	14833	14846	+
U	2740330	2740339	3Cen_mapped_Scaffold_36_D1605	14846	14855	+
U	2740340	2740391	3Cen_mapped_Scaffold_36_D1605	14855	14906	+
U	2740392	2740404	3Cen_mapped_Scaffold_36_D1605	14906	14918	+
U	2740404	2740427	3Cen_mapped_Scaffold_36_D1605	14928	14951	+
U	2740428	2740527	3Cen_mapped_Scaffold_36_D1605	14951	15050	+
U	2740527	2740538	3Cen_mapped_Scaffold_36_D1605	15057	15068	+
U	2740538	2740549	3Cen_mapped_Scaffold_36_D1605	15069	15080	+
U	2740549	2740560	3Cen_mapped_Scaffold_36_D1605	15081	15092	+
U	2740560	2740681	3Cen_mapped_Scaffold_36_D1605	15093	15214	+
U	2740682	2740791	3Cen_mapped_Scaffold_36_D1605	15214	15323	+
U	2740791	2740803	3Cen_mapped_Scaffold_36_D1605	15324	15336	+
U	2740808	2740826	3Cen_mapped_Scaffold_36_D1605	15336	15354	+
U	2740826	2740837	3Cen_mapped_Scaffold_36_D1605	15355	15366	+
U	2740837	2740847	3Cen_mapped_Scaffold_36_D1605	15367	15377	+
U	2740847	2740859	3Cen_mapped_Scaffold_36_D1605	15378	15390	+
U	2740859	2740869	3Cen_mapped_Scaffold_36_D1605	15391	15401	+
U	2740869	2740903	3Cen_mapped_Scaffold_36_D1605	15402	15436	+
U	2740903	2740914	3Cen_mapped_Scaffold_36_D1605	15437	15448	+
U	2740914	2741068	3Cen_mapped_Scaffold_36_D1605	15449	15603	+
U	2741069	2741080	3Cen_mapped_Scaffold_36_D1605	15603	15614	+
U	2741081	2741116	3Cen_mapped_Scaffold_36_D1605	15614	15649	+
U	2741117	2741128	3Cen_mapped_Scaffold_36_D1605	15649	15660	+
U	2741129	2746950	3Cen_mapped_Scaffold_36_D1605	15660	21481	+
U	2746950	2746967	3Cen_mapped_Scaffold_36_D1605	21493	21510	+
U	2746967	2746972	3Cen_mapped_Scaffold_36_D1605	21511	21516	+
U	2746972	2746998	3Cen_mapped_Scaffold_36_D1605	21517	21543	+
U	2746998	2746999	3Cen_mapped_Scaffold_36_D1605	21548	21549	+
U	2746999	2747001	3Cen_mapped_Scaffold_36_D1605	21551	21553	+
U	2747001	2747052	3Cen_mapped_Scaffold_36_D1605	21556	21607	+
U	2747052	2747109	3Cen_mapped_Scaffold_36_D1605	21608	21665	+
U	2747109	2747168	3Cen_mapped_Scaffold_36_D1605	21666	21725	+
U	2747169	2747201	3Cen_mapped_Scaffold_36_D1605	21725	21757	+
U	2747201	2747212	3Cen_mapped_Scaffold_36_D1605	21758	21769	+
U	2747212	2747223	3Cen_mapped_Scaffold_36_D1605	21770	21781	+
U	2747223	2747245	3Cen_mapped_Scaffold_36_D1605	21782	21804	+
U	2747245	2747267	3Cen_mapped_Scaffold_36_D1605	21805	21827	+
U	2747268	2747275	3Cen_mapped_Scaffold_36_D1605	21827	21834	+
U	2747277	2747292	3Cen_mapped_Scaffold_36_D1605	21834	21849	+
U	2747293	2747334	3Cen_mapped_Scaffold_36_D1605	21849	21890	+
U	2747335	2747339	3Cen_mapped_Scaffold_36_D1605	21890	21894	+
U	2747340	2747351	3Cen_mapped_Scaffold_36_D1605	21894	21905	+
U	2747352	2747387	3Cen_mapped_Scaffold_36_D1605	21905	21940	+
U	2747387	2747389	3Cen_mapped_Scaffold_36_D1605	21945	21947	+
U	2747389	2747399	3Cen_mapped_Scaffold_36_D1605	21952	21962	+
U	2747400	2747436	3Cen_mapped_Scaffold_36_D1605	21962	21998	+
U	2747437	2747457	3Cen_mapped_Scaffold_36_D1605	21998	22018	+
U	2747458	2747471	3Cen_mapped_Scaffold_36_D1605	22018	22031	+
U	2747472	2747495	3Cen_mapped_Scaffold_36_D1605	22031	22054	+
U	2747495	2747497	3Cen_mapped_Scaffold_36_D1605	22061	22063	+
U	2747497	2747520	3Cen_mapped_Scaffold_36_D1605	22066	22089	+
U	2747520	2747547	3Cen_mapped_Scaffold_36_D1605	22095	22122	+
U	2747547	2747551	3Cen_mapped_Scaffold_36_D1605	22132	22136	+
U	2747553	2747576	3Cen_mapped_Scaffold_36_D1605	22136	22159	+
U	2747576	2747598	3Cen_mapped_Scaffold_36_D1605	22160	22182	+
U	3206316	3207631	3Cen_mapped_Scaffold_41_D1641	553	1868	+
U	3215482	3218122	3Cen_mapped_Scaffold_41_D1641	10051	12691	+
U	3226846	3227477	3Cen_mapped_Scaffold_41_D1641	21506	22137	+
U	3382159	3382178	3Cen_mapped_Scaffold_41_D1641	9453	9472	-
U	5046635	5048102	3Cen_mapped_Scaffold_41_D1641	7725	9192	+
U	1048830	1049957	3Cen_mapped_Scaffold_41_D1641	13655	14782	-
U	1048713	1048821	3Cen_mapped_Scaffold_41_D1641	14782	14890	-
U	1488071	1493588	Unmapped_Scaffold_4_D1555_D1692	12471	17988	+
U	1493590	1507916	Unmapped_Scaffold_4_D1555_D1692	17988	32314	+
U	1510373	1514804	Unmapped_Scaffold_4_D1555_D1692	34770	39201	+
U	1516927	1517084	Unmapped_Scaffold_4_D1555_D1692	40700	40857	+
U	1517084	1542708	Unmapped_Scaffold_4_D1555_D1692	40858	66482	+
U	3956413	3957644	Unmapped_Scaffold_4_D1555_D1692	69252	70483	-
U	3952631	3956407	Unmapped_Scaffold_4_D1555_D1692	70489	74265	-
U	3951962	3952630	Unmapped_Scaffold_4_D1555_D1692	74265	74933	-
U	3946764	3946863	Unmapped_Scaffold_4_D1555_D1692	80400	80499	-
U	3944707	3946763	Unmapped_Scaffold_4_D1555_D1692	80499	82555	-
U	3943017	3944602	Unmapped_Scaffold_4_D1555_D1692	82695	84280	-
U	3943004	3943017	Unmapped_Scaffold_4_D1555_D1692	84281	84294	-
U	5123476	5123483	Unmapped_Scaffold_4_D1555_D1692	67533	67540	+
U	7601974	7602324	Unmapped_Scaffold_4_D1555_D1692	11722	12072	+
U	7602325	7602724	Unmapped_Scaffold_4_D1555_D1692	12072	12471	+
U	8442777	8442866	Unmapped_Scaffold_4_D1555_D1692	1798	1887	+
U	8443090	8443096	Unmapped_Scaffold_4_D1555_D1692	2109	2115	+
U	8693478	8693986	Unmapped_Scaffold_4_D1555_D1692	10806	11314	+
U	9848182	9848189	Unmapped_Scaffold_4_D1555_D1692	552	559	-
U	9848147	9848181	Unmapped_Scaffold_4_D1555_D1692	559	593	-
U	9847146	9848146	Unmapped_Scaffold_4_D1555_D1692	593	1593	-
U	4706698	4707366	Unmapped_Scaffold_13_D1782	7207	7875	-
U	5190010	5191171	Unmapped_Scaffold_13_D1782	2909	4070	+
U	5198029	5199132	Unmapped_Scaffold_13_D1782	11773	12876	+
U	5199132	5200693	Unmapped_Scaffold_13_D1782	12877	14438	+
U	5200693	5200696	Unmapped_Scaffold_13_D1782	14439	14442	+
U	5200696	5202423	Unmapped_Scaffold_13_D1782	14443	16170	+
U	7635623	7637918	Unmapped_Scaffold_13_D1782	9478	11773	-
U	1893535	1897444	Unmapped_Scaffold_8_D1580_D1567	40183	44092	+
U	1897445	1942121	Unmapped_Scaffold_8_D1580_D1567	44092	88768	+
U	2293462	2330456	Unmapped_Scaffold_8_D1580_D1567	1039	38033	+
U	2330457	2330500	Unmapped_Scaffold_8_D1580_D1567	38033	38076	+
U	2330501	2330549	Unmapped_Scaffold_8_D1580_D1567	38076	38124	+
U	2330550	2330761	Unmapped_Scaffold_8_D1580_D1567	38124	38335	+
U	2330761	2332370	Unmapped_Scaffold_8_D1580_D1567	38336	39945	+
U	4716194	4716755	Unmapped_Scaffold_11_D1754	13640	14201	-
U	4705208	4706698	Unmapped_Scaffold_11_D1754	23885	25375	-
U	4705173	4705207	Unmapped_Scaffold_11_D1754	25375	25409	-
U	4714969	4715208	Unmapped_Scaffold_11_D1754	0	239	-
U	5202423	5202812	Unmapped_Scaffold_11_D1754	32160	32549	+
U	7318873	7318991	Unmapped_Scaffold_11_D1754	20314	20432	+
U	7318992	7319067	Unmapped_Scaffold_11_D1754	20432	20507	+
U	7319068	7319759	Unmapped_Scaffold_11_D1754	20507	21198	+
U	7319759	7321441	Unmapped_Scaffold_11_D1754	21199	22881	+
U	7321441	7321446	Unmapped_Scaffold_11_D1754	22882	22887	+
U	8361006	8361082	Unmapped_Scaffold_11_D1754	8319	8395	+
U	8361083	8362505	Unmapped_Scaffold_11_D1754	8395	9817	+
U	8362506	8362627	Unmapped_Scaffold_11_D1754	9817	9938	+
U	9798960	9800011	Unmapped_Scaffold_11_D1754	16271	17322	+
U	4693377	4705073	Unmapped_Scaffold_22_D1753	17254	28950	-
U	9962956	9963562	Unmapped_Scaffold_22_D1753	13435	14041	-
U	9962949	9962955	Unmapped_Scaffold_22_D1753	14041	14047	-
U	9962543	9962948	Unmapped_Scaffold_22_D1753	14047	14452	-
U	4128519	4128543	Unmapped_Scaffold_29_D1705	9403	9427	-
U	4127529	4128519	Unmapped_Scaffold_29_D1705	9428	10418	-
U	4127491	4127528	Unmapped_Scaffold_29_D1705	10418	10455	-
U	4127357	4127457	Unmapped_Scaffold_29_D1705	10455	10555	-
U	4126237	4127356	Unmapped_Scaffold_29_D1705	10555	11674	-
U	4124889	4126030	Unmapped_Scaffold_29_D1705	11926	13067	-
U	4124834	4124888	Unmapped_Scaffold_29_D1705	13067	13121	-
U	4116241	4116346	Unmapped_Scaffold_29_D1705	22626	22731	-
U	4115509	4115814	Unmapped_Scaffold_29_D1705	23158	23463	-
U	4115320	4115509	Unmapped_Scaffold_29_D1705	23464	23653	-
U	4114724	4115320	Unmapped_Scaffold_29_D1705	26187	26783	-
U	4115814	4116241	Unmapped_Scaffold_29_D1705	25265	25692	-
U	4116509	4116546	Unmapped_Scaffold_29_D1705	28226	28263	-
U	4114685	4114711	Unmapped_Scaffold_29_D1705	24262	24288	-
U	6311405	6311471	Unmapped_Scaffold_29_D1705	4181	4247	+
U	6311471	6311472	Unmapped_Scaffold_29_D1705	4249	4250	+
U	6311472	6311636	Unmapped_Scaffold_29_D1705	4251	4415	+
U	6311636	6311638	Unmapped_Scaffold_29_D1705	4416	4418	+
U	6311638	6311640	Unmapped_Scaffold_29_D1705	4421	4423	+
U	6311640	6311900	Unmapped_Scaffold_29_D1705	4426	4686	+
U	6311901	6311905	Unmapped_Scaffold_29_D1705	4686	4690	+
U	6311906	6311917	Unmapped_Scaffold_29_D1705	4690	4701	+
U	7230380	7230667	Unmapped_Scaffold_29_D1705	3857	4144	-
U	8628665	8628697	Unmapped_Scaffold_29_D1705	2472	2504	-
U	8627313	8628665	Unmapped_Scaffold_29_D1705	2505	3857	-
U	9299483	9300438	Unmapped_Scaffold_29_D1705	5399	6354	+
U	9300439	9300639	Unmapped_Scaffold_29_D1705	6354	6554	+
U	9642035	9642442	Unmapped_Scaffold_29_D1705	14628	15035	-
U	9641937	9642035	Unmapped_Scaffold_29_D1705	15037	15135	-
U	9641705	9641935	Unmapped_Scaffold_29_D1705	15324	15554	-
U	9641695	9641704	Unmapped_Scaffold_29_D1705	15554	15563	-
U	9720651	9720860	Unmapped_Scaffold_29_D1705	17929	18138	+
U	9720875	9721199	Unmapped_Scaffold_29_D1705	18138	18462	+
U	9749241	9750169	Unmapped_Scaffold_29_D1705	16136	17064	+
U	9750170	9750303	Unmapped_Scaffold_29_D1705	17064	17197	+
U	10028632	10029191	Unmapped_Scaffold_29_D1705	18844	19403	-
U	10028623	10028632	Unmapped_Scaffold_29_D1705	19412	19421	-
U	10028620	10028623	Unmapped_Scaffold_29_D1705	19428	19431	-
U	10028617	10028620	Unmapped_Scaffold_29_D1705	19432	19435	-
U	10028614	10028617	Unmapped_Scaffold_29_D1705	19446	19449	-
U	10028612	10028614	Unmapped_Scaffold_29_D1705	19461	19463	-
U	10028186	10028612	Unmapped_Scaffold_29_D1705	19464	19890	-
U	1293239	1293327	Unmapped_Scaffold_29_D1705	21727	21815	-
U	1293327	1293339	Unmapped_Scaffold_29_D1705	24249	24261	-
U	4738981	4740025	Unmapped_Scaffold_17_D1756_D1775	11624	12668	-
U	4738962	4738980	Unmapped_Scaffold_17_D1756_D1775	12668	12686	-
U	4738928	4738962	Unmapped_Scaffold_17_D1756_D1775	12687	12721	-
U	4738877	4738927	Unmapped_Scaffold_17_D1756_D1775	12721	12771	-
U	4728519	4729777	Unmapped_Scaffold_17_D1756_D1775	20844	22102	-
U	5084563	5087667	Unmapped_Scaffold_17_D1756_D1775	24495	27599	+
U	5094581	5097845	Unmapped_Scaffold_17_D1756_D1775	34767	38031	+
U	5097994	5098038	Unmapped_Scaffold_17_D1756_D1775	38201	38245	+
U	5098040	5098088	Unmapped_Scaffold_17_D1756_D1775	38245	38293	+
U	5098089	5101491	Unmapped_Scaffold_17_D1756_D1775	38293	41695	+
U	5103676	5107731	Unmapped_Scaffold_17_D1756_D1775	43644	47699	+
U	5108098	5108146	Unmapped_Scaffold_17_D1756_D1775	48915	48963	+
U	5108146	5109263	Unmapped_Scaffold_17_D1756_D1775	48964	50081	+
U	5109282	5111483	Unmapped_Scaffold_17_D1756_D1775	50081	52282	+
U	5118382	5119073	Unmapped_Scaffold_17_D1756_D1775	59422	60113	+
U	5119074	5121531	Unmapped_Scaffold_17_D1756_D1775	60113	62570	+
U	7295529	7295555	Unmapped_Scaffold_17_D1756_D1775	20818	20844	-
U	7953996	7956000	Unmapped_Scaffold_17_D1756_D1775	31719	33723	+
U	8723926	8725056	Unmapped_Scaffold_17_D1756_D1775	41695	42825	+
U	8998714	8999943	Unmapped_Scaffold_17_D1756_D1775	57028	58257	+
U	9075268	9075272	Unmapped_Scaffold_17_D1756_D1775	459	463	+
U	9075272	9075277	Unmapped_Scaffold_17_D1756_D1775	464	469	+
U	9075277	9075279	Unmapped_Scaffold_17_D1756_D1775	470	472	+
U	9075279	9075331	Unmapped_Scaffold_17_D1756_D1775	473	525	+
U	9075332	9075335	Unmapped_Scaffold_17_D1756_D1775	525	528	+
U	9075335	9075820	Unmapped_Scaffold_17_D1756_D1775	529	1014	+
U	9075820	9075980	Unmapped_Scaffold_17_D1756_D1775	1016	1176	+
U	9075982	9076022	Unmapped_Scaffold_17_D1756_D1775	1176	1216	+
U	9076022	9076477	Unmapped_Scaffold_17_D1756_D1775	1217	1672	+
U	9923236	9924264	Unmapped_Scaffold_17_D1756_D1775	52471	53499	-
U	3381989	3382039	Unmapped_Scaffold_32_D1773	15250	15300	-
U	3381969	3381989	Unmapped_Scaffold_32_D1773	15307	15327	-
U	3381909	3381969	Unmapped_Scaffold_32_D1773	15328	15388	-
U	5033022	5033184	Unmapped_Scaffold_32_D1773	8588	8750	+
U	5033185	5035042	Unmapped_Scaffold_32_D1773	8750	10607	+
U	5035095	5037708	Unmapped_Scaffold_32_D1773	10706	13319	+
U	3592878	3593036	Unmapped_Scaffold_28_D1723	4545	4703	+
U	3593045	3593046	Unmapped_Scaffold_28_D1723	4703	4704	+
U	3593055	3593057	Unmapped_Scaffold_28_D1723	4704	4706	+
U	3593066	3593068	Unmapped_Scaffold_28_D1723	4706	4708	+
U	3593074	3593081	Unmapped_Scaffold_28_D1723	4708	4715	+
U	3593086	3593087	Unmapped_Scaffold_28_D1723	4715	4716	+
U	3593091	3593093	Unmapped_Scaffold_28_D1723	4716	4718	+
U	3593098	3593171	Unmapped_Scaffold_28_D1723	4718	4791	+
U	3593180	3593183	Unmapped_Scaffold_28_D1723	4791	4794	+
U	3593184	3593185	Unmapped_Scaffold_28_D1723	4794	4795	+
U	3593188	3593196	Unmapped_Scaffold_28_D1723	4795	4803	+
U	3593196	3593198	Unmapped_Scaffold_28_D1723	4804	4806	+
U	3593199	3593235	Unmapped_Scaffold_28_D1723	4806	4842	+
U	3593236	3593244	Unmapped_Scaffold_28_D1723	4842	4850	+
U	3593245	3593265	Unmapped_Scaffold_28_D1723	4850	4870	+
U	3593284	3593286	Unmapped_Scaffold_28_D1723	4870	4872	+
U	3593293	3593316	Unmapped_Scaffold_28_D1723	4872	4895	+
U	3593331	3593333	Unmapped_Scaffold_28_D1723	4895	4897	+
U	3593335	3593339	Unmapped_Scaffold_28_D1723	4897	4901	+
U	3593342	3593347	Unmapped_Scaffold_28_D1723	4901	4906	+
U	3593359	3593489	Unmapped_Scaffold_28_D1723	4906	5036	+
U	3593494	3593497	Unmapped_Scaffold_28_D1723	5036	5039	+
U	3593498	3593502	Unmapped_Scaffold_28_D1723	5039	5043	+
U	3593513	3593653	Unmapped_Scaffold_28_D1723	5043	5183	+
U	3593653	3593788	Unmapped_Scaffold_28_D1723	0	135	+
U	3593789	3594427	Unmapped_Scaffold_28_D1723	136	774	+
U	4331975	4332380	Unmapped_Scaffold_28_D1723	18677	19082	+
U	4332381	4333332	Unmapped_Scaffold_28_D1723	19082	20033	+
U	4333335	4333420	Unmapped_Scaffold_28_D1723	20033	20118	+
U	4333797	4333951	Unmapped_Scaffold_28_D1723	20495	20649	+
U	4333951	4334356	Unmapped_Scaffold_28_D1723	27335	27740	+
U	4340385	4340397	Unmapped_Scaffold_28_D1723	33671	33683	+
U	4340397	4342990	Unmapped_Scaffold_28_D1723	33684	36277	+
U	4342990	4343039	Unmapped_Scaffold_28_D1723	11629	11678	+
U	4343040	4343237	Unmapped_Scaffold_28_D1723	11678	11875	+
U	4343237	4344137	Unmapped_Scaffold_28_D1723	11876	12776	+
U	4344158	4344160	Unmapped_Scaffold_28_D1723	12776	12778	+
U	4344162	4344737	Unmapped_Scaffold_28_D1723	12778	13353	+
U	4331712	4331881	Unmapped_Scaffold_28_D1723	24914	25083	+
U	7002230	7003101	Unmapped_Scaffold_28_D1723	37451	38322	+
U	7003102	7003571	Unmapped_Scaffold_28_D1723	38322	38791	+
U	7003572	7003574	Unmapped_Scaffold_28_D1723	38791	38793	+
U	7003575	7005093	Unmapped_Scaffold_28_D1723	38793	40311	+
U	7377134	7377139	Unmapped_Scaffold_28_D1723	1745	1750	-
